Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP
Cordarrelle Patterson,CHI,WR,28,16,4,0,0,0,0,0,17,103,6.06,0,17,11,83,7.55,0,0,0,1,0,0
Elijhaa Penny,NYG,RB,26,16,1,0,0,0,0,0,15,39,2.60,0,4,2,9,4.50,0,0,0,0,0,0
Austin Carr,NOR,WR,26,6,3,0,0,0,0,0,0,0,0,0,4,1,9,9.00,0,0,0,0,0,0
Nick Mullens,SFO,QB,24,1,0,0,0,0,0,0,3,-3,-1.00,0,0,0,0,0,0,0,0,0,0,0
Malcolm Brown,LAR,RB,26,14,1,0,0,0,0,0,69,255,3.70,5,6,2,16,8.00,0,0,0,5,0,0
MyCole Pruitt,TEN,TE,27,16,10,0,0,0,0,0,0,0,0,0,8,6,90,15.00,1,0,0,1,0,0
Alexander Mattison,MIN,RB,21,13,0,0,0,0,0,0,100,462,4.62,1,12,10,82,8.20,0,1,1,1,0,0
Marcedes Lewis,GNB,TE,35,16,11,0,0,0,0,0,0,0,0,0,19,15,156,10.40,1,0,0,1,0,0
Jameis Winston,TAM,QB,25,16,16,380,626,5109,33,30,59,250,4.24,1,0,0,0,0,0,12,5,1,2,2
Rex Burkhead,NWE,RB,29,13,1,0,0,0,0,0,65,302,4.65,3,38,27,279,10.33,0,1,1,3,0,0
Tyler Eifert,CIN,TE,29,16,4,0,0,0,0,0,0,0,0,0,63,43,436,10.14,3,0,0,3,1,0
Ryan Finley,CIN,QB,25,3,3,41,87,474,2,2,10,77,7.70,0,0,0,0,0,0,4,3,0,0,0
Jeff Driskel,DET,QB,26,3,3,62,105,685,4,4,22,151,6.86,1,1,1,6,6.00,0,1,0,1,0,0
Melvin Gordon,LAC,RB,26,12,11,0,0,0,0,0,162,612,3.78,8,55,42,296,7.05,1,4,3,9,0,0
Ross Dwelley,SFO,TE,24,16,6,0,0,0,0,0,0,0,0,0,22,15,91,6.07,2,0,0,2,0,0
Vyncint Smith,NYJ,WR,23,13,4,0,0,0,0,0,3,52,17.33,1,31,17,225,13.24,0,1,1,1,0,0
Andre Roberts,BUF,WR,31,13,0,0,0,0,0,0,1,7,7.00,0,7,3,20,6.67,0,1,0,0,0,0
Nick Vannett,2TM,TE,26,16,7,0,0,0,0,0,0,0,0,0,22,17,166,9.76,0,0,0,0,0,0
Andy Isabella,ARI,WR,23,15,1,0,0,0,0,0,4,15,3.75,0,13,9,189,21.00,1,0,0,1,0,0
Adam Humphries,TEN,WR,26,12,3,0,0,0,0,0,1,1,1.00,0,47,37,374,10.11,2,1,0,2,0,0
Cedrick Wilson Jr.,DAL,WR,24,6,0,0,0,0,0,0,0,0,0,0,8,5,46,9.20,0,0,0,0,0,0
Tanner Hudson,TAM,TE,25,9,1,0,0,0,0,0,0,0,0,0,5,2,26,13.00,0,0,0,0,0,0
Travis Kelce,KAN,TE,30,16,16,0,0,0,0,0,1,4,4.00,1,136,97,1229,12.67,5,1,1,6,0,0
Hunter Henry,LAC,TE,25,12,12,0,0,0,0,0,0,0,0,0,76,55,652,11.85,5,1,1,5,1,0
Cam Newton,CAR,QB,30,2,2,50,89,572,0,1,5,-2,-0.40,0,0,0,0,0,0,2,2,0,0,0
David Njoku,CLE,TE,23,4,1,0,0,0,0,0,0,0,0,0,10,5,41,8.20,1,0,0,1,0,0
Frank Gore,BUF,RB,36,16,8,0,0,0,0,0,166,599,3.61,2,16,13,100,7.69,0,0,0,2,0,0
Jojo Natson,LAR,WR,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damiere Byrd,ARI,WR,26,11,3,0,0,0,0,0,0,0,0,0,46,32,359,11.22,1,1,1,1,0,0
DeAndre Hopkins,HOU,WR,27,15,15,1,2,6,1,1,2,18,9.00,0,150,104,1165,11.20,7,0,0,7,1,0
JuJu Smith-Schuster,PIT,WR,23,12,12,0,0,0,0,0,0,0,0,0,70,42,552,13.14,3,1,1,3,0,0
Chris Moore,BAL,WR,26,14,1,0,0,0,0,0,1,0,0.00,0,5,3,21,7.00,0,0,0,0,0,0
Odell Beckham Jr.,CLE,WR,27,16,15,1,2,20,0,0,3,10,3.33,0,133,74,1035,13.99,4,1,1,4,0,0
Ezekiel Elliott,DAL,RB,24,16,16,0,0,0,0,0,301,1357,4.51,12,71,54,420,7.78,2,3,2,14,0,0
George Kittle,SFO,TE,26,14,14,0,0,0,0,0,5,22,4.40,0,107,85,1053,12.39,5,1,0,5,0,0
Sam Darnold,NYJ,QB,22,13,13,273,441,3024,19,13,33,62,1.88,2,0,0,0,0,0,11,3,2,0,3
Dontrelle Inman,2TM,WR,30,7,1,0,0,0,0,0,0,0,0,0,21,12,181,15.08,0,0,0,0,0,0
Will Dissly,SEA,TE,23,6,6,0,0,0,0,0,1,7,7.00,0,27,23,262,11.39,4,1,0,4,0,0
Emmanuel Sanders,2TM,WR,32,17,16,1,1,35,1,0,0,0,0,0,97,66,869,13.17,5,0,0,5,1,0
Chase Daniel,CHI,QB,33,3,1,45,64,435,3,2,6,6,1.00,0,0,0,0,0,0,0,0,0,0,0
Seth Devalve,JAX,TE,26,12,6,0,0,0,0,0,0,0,0,0,18,12,140,11.67,0,0,0,0,0,0
Cole Beasley,BUF,WR,30,15,10,0,0,0,0,0,0,0,0,0,106,67,778,11.61,6,0,0,6,2,0
Stephen Carlson,CLE,TE,23,9,5,0,0,0,0,0,0,0,0,0,7,5,51,10.20,1,0,0,1,0,0
Todd Gurley,LAR,RB,25,15,15,0,0,0,0,0,223,857,3.84,12,49,31,207,6.68,2,3,2,14,1,0
Cullen Gillaspia,HOU,RB,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
