DEFENSE,TACKLES,SOLO,ASSIST,PASS DEF,SACKS,INT,FF,FR,SFTY,TD
Pittsburgh Steelers,43.5,39.4,4.1,1.9,3.5,1.1,0.1,0.5,0.1,0
Los Angeles Rams,43.2,37.9,5.3,1.6,3.3,0.9,0.2,0.5,0.1,0
Indianapolis Colts,46.7,41.8,4.9,1.6,2.5,0.9,0.1,0.6,0.2,0
Baltimore Ravens,45.6,38.4,7.2,1.6,2.4,0.6,0.7,0.8,0.1,0
Miami Dolphins,45,37.6,7.4,1.2,2.6,1.1,0.4,0.6,0,0
Washington Commanders,43.9,36.9,6.9,0.8,2.9,1,0.5,0.4,0.1,0
New Orleans Saints,43,36.4,6.6,1.2,2.8,1.1,0.1,0.4,0.1,0
Tampa Bay Buccaneers,46.3,39.9,6.4,1.8,3,0.9,0.4,0.6,0.1,0
Buffalo Bills,48.1,42,6.1,1.6,2.4,0.9,0.3,0.7,0,0
Kansas City Chiefs,46.1,38.9,7.1,1.2,2,1,0.2,0.4,0.1,0
New York Giants,46.7,39.9,6.8,1.9,2.5,0.7,0.2,0.6,0,0
New England Patriots,46.7,40.8,5.9,1.3,1.5,1.1,0.2,0.2,0,0
Arizona Cardinals,48,42.9,5.1,1.2,3,0.7,0.2,0.4,0.1,0
Seattle Seahawks,49,41.9,7.1,2.4,2.9,0.9,0.2,0.5,0.2,0
Philadelphia Eagles,48.9,42.2,6.6,1.1,3.1,0.5,0.3,0.6,0.1,0
Carolina Panthers,45.1,35.9,9.2,1.4,1.8,0.4,0.3,0.8,0,0
Green Bay Packers,43.6,38.4,5.2,1.1,2.6,0.7,0.2,0.4,0.1,0
Cleveland Browns,45.3,38.6,6.7,1.4,2.4,0.7,0.6,0.9,0.1,0
Chicago Bears,42.9,38.6,4.2,2,2.2,0.6,0.2,0.4,0.1,0
San Francisco 49ers,45.5,37.9,7.6,1.8,1.9,0.8,0.2,0.4,0,0
Dallas Cowboys,46.7,38.2,8.5,1.4,1.9,0.6,0.1,0.7,0,0
Denver Broncos,42.6,38.3,4.3,1.7,2.6,0.6,0.1,0.3,0,0
Atlanta Falcons,47.4,39.1,8.3,1.2,1.8,0.8,0.3,0.6,0,0
Los Angeles Chargers,45.6,37.7,7.9,1.4,1.7,0.8,0.2,0.3,0.1,0
Tennessee Titans,47.9,42.9,5.1,2.1,1.2,0.9,0.2,0.4,0,0
New York Jets,49,41.6,7.4,1.8,1.9,0.6,0.4,0.6,0.1,0
Minnesota Vikings,42.6,37.9,4.7,1,1.4,0.9,0.3,0.2,0.1,0
Jacksonville Jaguars,48.1,41.6,6.5,1.3,1.1,0.8,0.1,0.3,0,0
Cincinnati Bengals,47.1,36.2,10.9,1.7,1.1,0.7,0.1,0.4,0,0
Houston Texans,50.4,42.9,7.5,1.1,2.1,0.2,0.1,0.4,0,0
Las Vegas Raiders,42.6,37.6,5,1.8,1.3,0.6,0,0.2,0,0
Detroit Lions,46.2,41.4,4.8,1.6,1.5,0.4,0.1,0.3,0.1,0
