PLAYER,PPG
A.J. Brown,13.915384615384616
A.J. Green,9.8
AJ Dillon,10.91764705882353
Aaron Jones,15.266666666666667
Aaron Rodgers,20.83125
Adam Humphries,4.664705882352941
Adam Shaheen,1.9166666666666667
Adam Thielen,15.36923076923077
Adam Trautman,4.869230769230769
Adrian Peterson,6.65
Albert Okwuegbunam,5.428571428571429
Alec Ingold,2.7333333333333334
Alex Armah,0.8363636363636363
Alex Bachman,-0.09999999999999999
Alex Collins,6.254545454545454
Alex Erickson,0.5
Alexander Mattison,7.86875
Allen Lazard,9.5
Allen Robinson,7.25
Alvin Kamara,18.053846153846152
Amari Cooper,13.5
Ameer Abdullah,5.264705882352941
Andre Roberts,0.525
Andy Dalton,10.525
Andy Isabella,0.2875
Andy Janovich,0.9153846153846155
Anthony Firkser,5.2733333333333325
Anthony McFarland Jr.,1.2
Anthony Miller,4.833333333333333
Antonio Brown,17.3
Antonio Gibson,14.31875
Antony Auclair,0.98125
Ashton Dulin,3.0294117647058822
Auden Tate,1.842857142857143
Austin Ekeler,21.4875
Austin Hooper,5.78125
Austin Walter,4.75
Baker Mayfield,12.921428571428573
Ben Roethlisberger,13.63125
Benny Snell Jr.,0.7705882352941176
Blaine Gabbert,0.3333333333333333
Blake Bell,1.16875
Blake Jarwin,4.075
Boston Scott,6.1625
Brandin Cooks,14.4875
Brandon Aiyuk,10.01764705882353
Brandon Allen,2.316666666666667
Brandon Powell,1.0
Brandon Zylstra,3.769230769230769
Braxton Berrios,7.56875
Breshad Perriman,5.566666666666666
Brian Hoyer,2.46
Bryan Edwards,6.81875
Brycen Hopkins,0.38
Buddy Howell,0.11000000000000001
Byron Pringle,7.458823529411765
C.J. Beathard,0.75
C.J. Board,1.6166666666666665
C.J. Ham,1.9352941176470588
C.J. Uzomah,8.01875
Calvin Ridley,14.219999999999999
Cam Akers,4.3
Cam Newton,10.8
Cam Sims,3.4857142857142853
Cameron Batson,2.75
Cameron Brate,4.617647058823529
Carlos Hyde,3.8166666666666664
Carson Wentz,15.176470588235293
Case Keenum,4.1
Cedrick Wilson Jr.,9.2375
CeeDee Lamb,14.55
Cethan Carter,0.225
Chad Henne,0.825
Charlie Woerner,0.6
Chase Claypool,11.106666666666666
Chase Daniel,-0.2
Chase Edmonds,11.941666666666668
Chris Carson,12.025
Chris Conley,4.0375
Chris Godwin,17.314285714285713
Chris Herndon,0.875
Chris Hogan,2.82
Chris Manhertz,1.1235294117647059
Chris Moore,4.641666666666667
Chris Myarick,1.3375
Chris Streveler,1.0
Christian Blake,0.40625
Christian Kirk,12.211764705882352
Christian McCaffrey,18.214285714285715
Clyde Edwards-Helaire,11.76
Cody Hollister,2.433333333333333
Colby Parkinson,0.5928571428571429
Cole Beasley,9.95625
Cole Kmet,7.129411764705883
Collin Johnson,1.7916666666666667
Colt McCoy,5.1625
Cooper Kupp,25.852941176470587
Cordarrelle Patterson,14.6625
Corey Clement,1.7
Corey Davis,11.68888888888889
Courtland Sutton,8.835294117647058
Craig Reynolds,7.040000000000001
Curtis Samuel,1.9600000000000002
Cyril Grayson,8.92
D'Andre Swift,16.06923076923077
D'Ernest Johnson,6.123529411764705
D'Onta Foreman,10.433333333333334
D.J. Moore,13.970588235294118
D.K. Metcalf,14.370588235294118
DJ Chark,8.6
Dak Prescott,20.0375
Dallas Goedert,11.0
Dalton Schultz,12.282352941176471
Dalvin Cook,15.86923076923077
Damien Harris,14.006666666666666
Damiere Byrd,3.8176470588235296
Dan Arnold,6.890909090909091
Daniel Brown,0.4083333333333334
Daniel Helm,0.1
Daniel Jones,15.227272727272727
Danny Amendola,8.6
Dante Pettis,8.433333333333334
Dare Ogunbowale,2.947058823529412
Darius Slayton,5.276923076923077
Darnell Mooney,12.923529411764704
Darrel Williams,11.529411764705882
Darrell Daniels,0.06666666666666667
Darrell Henderson,13.616666666666667
Darren Fells,0.9222222222222223
Darren Waller,12.136363636363637
Darrynton Evans,3.8
Davante Adams,21.51875
David Blough,0.6
David Johnson,6.253846153846154
David Montgomery,15.0
David Njoku,6.725
Dawson Knox,10.94
DeAndre Carter,5.088235294117647
DeAndre Hopkins,14.719999999999999
