KICKER, PPG
Aldrick Rosas,4.0
Austin Seibert,5.833333333333333
Brandon McManus,6.529411764705882
Cairo Santos,6.176470588235294
Chase McLaughlin,5.0625
Chris Boswell,7.9411764705882355
Cody Parkey,3.0
Daniel Carlson,8.823529411764707
Dustin Hopkins,7.647058823529412
Elliott Fry,8.0
Graham Gano,6.117647058823529
Greg Zuerlein,8.0625
Harrison Butker,7.625
Jake Elliott,7.882352941176471
Jason Myers,5.588235294117647
Jason Sanders,6.0588235294117645
Joey Slye,7.25
Josh Lambo,1.6666666666666667
Justin Tucker,8.058823529411764
Ka'imi Fairbairn,4.461538461538462
Mason Crosby,7.294117647058823
Matt Gay,8.470588235294118
Matt Prater,8.058823529411764
Matthew Wright,5.428571428571429
Michael Badgley,7.230769230769231
Nick Folk,8.823529411764707
Randy Bullock,7.5
Robbie Gould,7.615384615384615
Rodrigo Blankenship,8.0
Ryan Succop,7.705882352941177
Tristan Vizcaino,4.666666666666667
Tyler Bass,7.9411764705882355
Younghoe Koo,6.529411764705882
Zane Gonzalez,6.833333333333333
