Pharoh Cooper,CAR,WR,25,16,1,0,0,0,0,0,0,0,0,0,8,5,73,14.60,0,1,0,0,0,0
Kendall Hinton,DEN,WR,23,1,0,1,9,13,0,2,2,7,3.50,0,0,0,0,0,0,0,0,0,0,0
K.J. Osborn,MIN,WR,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
D'Ernest Johnson,CLE,RB,24,16,0,0,0,0,0,0,33,166,5.03,0,4,3,14,4.67,0,1,0,0,0,0
Taylor Heinicke,WAS,QB,27,1,0,12,19,137,1,0,3,22,7.33,0,0,0,0,0,0,0,0,0,0,0
Austin Hooper,CLE,TE,26,13,13,0,0,0,0,0,0,0,0,0,70,46,435,9.46,4,0,0,4,0,0
Kenyan Drake,ARI,RB,26,15,13,0,0,0,0,0,239,955,4.00,10,31,25,137,5.48,0,3,1,10,0,0
Robert Woods,LAR,WR,28,16,16,0,0,0,0,0,24,155,6.46,2,129,90,936,10.40,6,2,1,8,0,0
Marquise Brown,BAL,WR,23,16,14,0,0,0,0,0,1,1,1.00,0,100,58,769,13.26,8,0,0,8,0,0
Ryan Izzo,NWE,TE,25,12,12,0,0,0,0,0,0,0,0,0,20,13,199,15.31,0,1,1,0,0,0
Lee Smith,BUF,WR,33,10,2,0,0,0,0,0,0,0,0,0,6,4,35,8.75,2,0,0,2,0,0
Giovani Bernard,CIN,RB,29,16,10,0,0,0,0,0,124,416,3.35,3,59,47,355,7.55,3,1,1,6,0,0
Juwan Johnson,NOR,TE,24,7,4,0,0,0,0,0,0,0,0,0,10,4,39,9.75,0,0,0,0,0,0
Devine Ozigbo,JAX,RB,24,8,0,0,0,0,0,0,1,1,1.00,0,9,9,42,4.67,0,0,0,0,0,0
Dezmon Patmon,IND,WR,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laquon Treadwell,ATL,WR,25,5,0,0,0,0,0,0,0,0,0,0,7,6,49,8.17,2,0,0,2,0,0
Kyle Rudolph,MIN,TE,31,12,12,0,0,0,0,0,0,0,0,0,37,28,334,11.93,1,1,1,1,0,0
Cameron Brate,TAM,TE,29,16,1,0,0,0,0,0,0,0,0,0,34,28,282,10.07,2,0,0,2,0,0
Jalen Guyton,LAC,WR,23,16,9,0,0,0,0,0,2,0,0.00,0,55,28,511,18.25,3,0,0,3,0,0
Taysom Hill,NOR,TE,30,16,8,88,121,928,4,2,87,457,5.25,8,12,8,98,12.25,1,10,5,9,0,0
Jeff Smith,NYJ,WR,23,12,4,0,0,0,0,0,0,0,0,0,37,17,167,9.82,0,0,0,0,0,0
Tyler Lockett,SEA,WR,28,16,16,0,0,0,0,0,0,0,0,0,132,100,1054,10.54,10,1,0,10,0,0
CeeDee Lamb,DAL,WR,21,16,14,0,0,0,0,0,10,82,8.20,1,111,74,935,12.64,5,2,1,7,1,0
Zay Jones,LVR,WR,25,16,2,1,1,29,0,0,0,0,0,0,20,14,154,11.00,1,0,0,1,0,0
Josh Reynolds,LAR,WR,25,16,13,0,0,0,0,0,1,5,5.00,0,81,52,618,11.88,2,2,1,2,0,0
Justin Watson,TAM,WR,24,11,2,0,0,0,0,0,0,0,0,0,11,7,94,13.43,0,0,0,0,0,0
Mack Hollins,MIA,WR,27,16,2,0,0,0,0,0,0,0,0,0,25,16,176,11.00,1,1,1,1,0,0
Cody Hollister,TEN,WR,27,2,0,0,0,0,0,0,0,0,0,0,1,1,12,12.00,0,0,0,0,0,0
Sam Darnold,NYJ,QB,23,12,12,217,364,2208,9,11,37,217,5.86,2,0,0,0,0,0,4,2,2,0,1
Jared Cook,NOR,TE,33,15,5,0,0,0,0,0,0,0,0,0,60,37,504,13.62,7,1,1,7,0,0
Dare Ogunbowale,JAX,RB,26,14,2,0,0,0,0,0,32,145,4.53,0,20,10,54,5.40,0,0,0,0,0,0
Elijhaa Penny,NYG,RB,27,14,0,0,0,0,0,0,6,15,2.50,0,3,2,20,10.00,0,0,0,0,0,0
Kyler Murray,ARI,QB,23,16,16,375,558,3971,26,12,133,819,6.16,11,0,0,0,0,0,9,4,11,0,0
Tanner Hudson,TAM,TE,26,11,0,0,0,0,0,0,0,0,0,0,7,3,41,13.67,0,0,0,0,0,0
Noah Togiai,IND,TE,23,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jason Moore,LAC,WR,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Richard,LVR,RB,27,13,0,0,0,0,0,0,22,123,5.59,1,23,19,138,7.26,0,1,0,1,0,0
Antonio Brown,TAM,WR,32,8,4,0,0,0,0,0,2,-2,-1.00,0,62,45,483,10.73,4,0,0,4,0,0
Cethan Carter,CIN,TE,25,15,5,0,0,0,0,0,0,0,0,0,7,5,53,10.60,0,0,0,0,0,0
Charlie Woerner,SFO,TE,23,14,0,0,0,0,0,0,0,0,0,0,4,3,36,12.00,0,0,0,0,0,0
Jordan Howard,2TM,RB,26,7,4,0,0,0,0,0,35,60,1.71,4,1,1,-3,-3.00,0,1,0,4,0,0
Trent Taylor,SFO,WR,26,12,1,0,0,0,0,0,0,0,0,0,21,10,86,8.60,0,0,0,0,0,0
Mike Gesicki,MIA,TE,25,15,9,0,0,0,0,0,0,0,0,0,85,53,703,13.26,6,0,0,6,0,0
J.D. McKissic,WAS,RB,27,16,7,0,0,0,0,0,85,365,4.29,1,110,80,589,7.36,2,3,1,3,0,0
Kahale Warring,HOU,TE,23,7,0,0,0,0,0,0,0,0,0,0,7,3,35,11.67,0,0,0,0,0,0
Andy Isabella,ARI,WR,24,13,2,0,0,0,0,0,1,-6,-6.00,0,35,21,224,10.67,2,1,0,2,0,0
Ryan Tannehill,TEN,QB,32,16,16,315,481,3819,33,7,43,266,6.19,7,1,1,0,0.00,0,6,1,7,2,1
Luke Stocker,ATL,TE,32,16,13,0,0,0,0,0,0,0,0,0,11,7,63,9.00,0,0,0,0,0,0
Tommylee Lewis,NOR,WR,28,5,0,0,0,0,0,0,2,14,7.00,0,3,1,5,5.00,0,0,0,0,0,0
Wayne Gallman,NYG,RB,26,15,10,0,0,0,0,0,147,682,4.64,6,27,21,114,5.43,0,1,0,6,0,0
Mike Williams,LAC,WR,26,15,11,0,0,0,0,0,1,1,1.00,0,85,48,756,15.75,5,0,0,5,0,0
Cordarrelle Patterson,CHI,WR,29,16,3,0,0,0,0,0,64,232,3.63,1,25,21,132,6.29,0,0,0,2,0,0
Preston Williams,MIA,WR,23,8,7,0,0,0,0,0,0,0,0,0,35,18,288,16.00,4,0,0,4,2,0
Zach Ertz,PHI,TE,30,11,11,0,0,0,0,0,0,0,0,0,72,36,335,9.31,1,0,0,1,1,0
Noah Fant,DEN,TE,23,15,14,0,0,0,0,0,0,0,0,0,93,62,673,10.85,3,0,0,3,1,0
Dak Prescott,DAL,QB,27,5,5,151,222,1856,9,4,18,93,5.17,3,1,1,11,11.00,1,3,3,4,1,1
Travis Kelce,KAN,TE,31,15,15,1,2,4,0,0,0,0,0,0,145,105,1416,13.49,11,1,1,11,1,0
David Njoku,CLE,TE,24,13,5,0,0,0,0,0,0,0,0,0,29,19,213,11.21,2,0,0,2,0,0
Richard Rodgers,PHI,TE,28,14,4,0,0,0,0,0,0,0,0,0,31,24,345,14.38,2,0,0,2,0,0
Matt Breida,MIA,RB,25,12,1,0,0,0,0,0,59,254,4.31,0,10,9,96,10.67,0,2,1,0,0,0
