KICKER,Age,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Aldrick Rosas,25,16,0,0,0,6,6,6,5,4,1,1,0,17,12,45,70.6%,39,35,89.7%,71,4433,50,70.4%,62.4
Austin Seibert,23,16,0,0,0,6,6,9,9,12,9,2,1,29,25,53,86.2%,35,30,85.7%,75,4753,30,40.0%,63.4
Brandon McManus,28,16,0,0,0,6,6,9,9,12,10,7,4,34,29,53,85.3%,26,25,96.2%,72,4634,55,76.4%,64.4
Cairo Santos,28,5,0,0,0,0,0,3,1,3,2,3,1,9,4,53,44.4%,12,12,100.0%,21,1339,12,57.1%,63.8
Chase McLaughlin,23,11,0,1,1,5,5,4,4,10,5,3,3,23,18,50,78.3%,26,26,100.0%,18,1064,7,38.9%,59.1
Chris Boswell,28,16,0,1,1,11,11,7,7,10,9,2,1,31,29,51,93.5%,28,28,100.0%,72,4552,31,43.1%,63.2
Cody Parkey,27,3,0,0,0,0,0,0,0,2,2,1,1,3,3,51,100.0%,6,5,83.3%,12,753,9,75.0%,62.8
Dan Bailey,31,16,0,0,0,10,10,9,9,7,5,3,3,29,27,50,93.1%,44,40,90.9%,87,5597,66,75.9%,64.3
Daniel Carlson,24,16,0,0,0,8,8,6,5,10,6,2,0,26,19,48,73.1%,36,34,94.4%,71,4496,38,53.5%,63.3
Dustin Hopkins,29,16,0,0,0,8,7,9,8,10,8,3,2,30,25,53,83.3%,22,21,95.5%,68,4231,48,70.6%,62.2
Greg Zuerlein,32,16,0,0,0,7,7,8,7,11,5,7,5,33,24,58,72.7%,42,42,100.0%,83,5281,64,77.1%,63.6
Harrison Butker,24,16,0,0,0,9,9,9,8,14,14,6,3,38,34,56,89.5%,48,45,93.8%,98,6157,60,61.2%,62.8
Jake Elliott,24,16,0,0,0,7,7,8,8,7,5,4,2,26,22,53,84.6%,37,35,94.6%,81,5058,52,64.2%,62.4
Jason Myers,28,16,0,0,0,6,6,11,11,7,4,4,2,28,23,54,82.1%,44,40,90.9%,85,5337,59,69.4%,62.8
Jason Sanders,24,16,0,0,0,7,7,9,8,9,5,5,3,30,23,54,76.7%,30,29,96.7%,71,4314,49,69.0%,60.8
Joey Slye,23,16,0,0,0,5,4,5,5,11,8,11,8,32,25,55,78.1%,35,31,88.6%,70,4503,66,94.3%,64.3
Josh Lambo,29,16,0,0,0,12,12,9,9,9,8,4,4,34,33,56,97.1%,20,19,95.0%,40,2283,23,57.5%,57.1
Justin Tucker,30,16,0,0,0,8,8,9,9,11,10,1,1,29,28,51,96.6%,59,57,96.6%,106,6646,57,53.8%,62.7
Ka'imi Fairbairn,25,16,0,0,0,5,5,8,8,6,4,6,3,25,20,54,80.0%,45,40,88.9%,81,5091,42,51.9%,62.9
Kai Forbath,32,4,0,0,0,2,2,1,1,7,7,1,1,11,11,50,100.0%,12,11,91.7%,23,1375,15,65.2%,59.8
Mason Crosby,35,16,0,1,1,2,2,11,11,8,7,2,1,24,22,54,91.7%,41,40,97.6%,79,5031,49,62.0%,63.7
Matt Gay,25,16,0,0,0,6,6,7,5,14,11,8,5,35,27,58,77.1%,48,43,89.6%,1,14,0,0,14.0
Matt Prater,35,16,0,0,0,11,11,3,2,9,6,8,7,31,26,56,83.9%,36,35,97.2%,19,1159,8,42.1%,61.0
Michael Badgley,24,8,0,0,0,5,5,2,2,8,6,1,0,16,13,49,81.3%,19,19,100.0%,11,665,1,9.1%,60.5
Mike Nugent,37,4,0,0,0,4,3,3,2,1,0,0,0,8,5,37,62.5%,16,15,93.8%,0,0,0,0,0
Nick Folk,35,7,0,1,1,5,5,3,3,7,4,1,1,17,14,51,82.4%,12,12,100.0%,1,41,0,0,41.0
Randy Bullock,30,16,0,0,0,10,10,6,6,12,10,3,1,31,27,57,87.1%,25,24,96.0%,71,4269,46,64.8%,60.1
Robbie Gould,37,13,0,0,0,9,9,10,8,8,6,4,0,31,23,47,74.2%,42,41,97.6%,1,37,0,0,37.0
Ryan Succop,33,6,0,0,0,0,0,1,1,4,0,1,0,6,1,31,16.7%,25,24,96.0%,17,1015,3,17.6%,59.7
Sam Ficken,27,15,0,0,0,2,2,8,7,11,7,6,3,27,19,54,70.4%,26,23,88.5%,62,3763,29,46.8%,60.7
Stephen Gostkowski,35,4,0,0,0,3,3,3,3,2,1,0,0,8,7,41,87.5%,15,11,73.3%,26,1687,21,80.8%,64.9
Stephen Hauschka,34,16,0,0,0,5,5,8,7,10,9,5,1,28,22,51,78.6%,32,30,93.8%,73,4529,42,57.5%,62.0
Wil Lutz,25,16,0,1,1,9,9,6,6,15,13,5,3,36,32,58,88.9%,49,48,98.0%,94,6082,74,78.7%,64.7
Younghoe Koo,25,8,0,0,0,6,6,10,9,9,7,1,1,26,23,50,88.5%,16,15,93.8%,50,3041,27,54.0%,60.8
Zane Gonzalez,24,16,0,0,0,12,12,13,12,8,5,2,2,35,31,54,88.6%,35,34,97.1%,83,5241,45,54.2%,63.1
