PLAYER,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP
C.J. Prosise,25,9,0,0,0,0,0,0,23,72,3.13,1,12,10,76,7.60,0,1,1,1,0,0
C.J. Uzomah,26,16,16,0,0,0,0,0,0,0,0,0,40,27,242,8.96,2,0,0,2,0,0
Calvin Ridley,25,13,10,0,0,0,0,0,2,34,17.00,0,93,63,866,13.75,7,0,0,7,1,0
Cam Newton,30,2,2,50,89,572,0,1,5,-2,-0.40,0,0,0,0,0,0,2,2,0,0,0
Cam Sims,23,7,1,0,0,0,0,0,0,0,0,0,3,2,27,13.50,0,0,0,0,0,0
Cameron Brate,28,16,6,0,0,0,0,0,0,0,0,0,55,36,311,8.64,4,0,0,4,0,0
Carlos Hyde,29,16,14,0,0,0,0,0,245,1070,4.37,6,16,10,42,4.20,0,4,2,6,0,0
Carson Wentz,27,16,16,388,607,4039,27,7,62,243,3.92,1,0,0,0,0,0,16,7,1,0,2
Case Keenum,31,10,8,160,247,1707,11,5,9,12,1.33,1,0,0,0,0,0,6,3,1,0,0
Cedrick Wilson Jr.,24,6,0,0,0,0,0,0,0,0,0,0,8,5,46,9.20,0,0,0,0,0,0
Cethan Carter,24,15,0,0,0,0,0,0,0,0,0,0,3,2,13,6.50,1,0,0,1,0,0
Chad Beebe,25,3,0,0,0,0,0,0,0,0,0,0,2,2,70,35.00,0,3,0,0,0,0
Chandler Cox,23,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Daniel,33,3,1,45,64,435,3,2,6,6,1.00,0,0,0,0,0,0,0,0,0,0,0
Chase Edmonds,23,13,2,0,0,0,0,0,60,303,5.05,4,21,12,105,8.75,1,0,0,5,0,0
Chris Carson,25,15,15,0,0,0,0,0,278,1230,4.42,7,47,37,266,7.19,2,7,4,9,0,0
Chris Conley,27,16,14,0,0,0,0,0,0,0,0,0,90,47,775,16.49,5,0,0,5,1,0
Chris Godwin,23,14,14,0,0,0,0,0,1,8,8.00,0,121,86,1333,15.50,9,0,0,9,1,0
Chris Herndon,23,1,0,0,0,0,0,0,0,0,0,0,2,1,7,7.00,0,0,0,0,0,0
Chris Hogan,32,7,1,0,0,0,0,0,0,0,0,0,15,8,67,8.38,0,0,0,0,0,0
Chris Manhertz,27,15,6,0,0,0,0,0,0,0,0,0,1,1,11,11.00,0,0,0,0,0,0
Chris Thompson,29,11,0,0,0,0,0,0,37,138,3.73,0,58,42,378,9.00,0,1,0,0,0,0
Christian Blake,23,9,3,0,0,0,0,0,0,0,0,0,24,11,91,8.27,0,0,0,0,0,0
Christian Kirk,23,13,13,0,0,0,0,0,10,93,9.30,0,108,68,709,10.43,3,0,0,3,1,0
Christian McCaffrey,23,16,16,0,2,0,0,0,287,1387,4.83,15,142,116,1005,8.66,4,1,0,19,1,0
Cody Hollister,26,5,0,0,0,0,0,0,0,0,0,0,2,2,13,6.50,0,0,0,0,0,0
Cole Beasley,30,15,10,0,0,0,0,0,0,0,0,0,106,67,778,11.61,6,0,0,6,2,0
