PLAYER,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP
Jordan Howard,25,10,4,0,0,0,0,0,119,525,4.41,6,14,10,69,6.90,1,0,0,7,0,0
Jordan Thomas,23,5,2,0,0,0,0,0,0,0,0,0,3,1,8,8.00,0,0,0,0,0,0
Jordan Wilkins,25,14,1,0,0,0,0,0,51,307,6.02,2,11,7,43,6.14,0,0,0,2,0,0
Josh Adams,23,3,0,0,0,0,0,0,8,12,1.50,0,0,0,0,0,0,0,0,0,0,0
Josh Allen,23,16,16,271,461,3089,20,9,109,510,4.68,9,0,0,0,0,0,14,4,9,1,2
Josh Hill,29,16,11,0,0,0,0,0,0,0,0,0,35,25,226,9.04,3,0,0,3,0,0
Josh Jacobs,21,13,13,0,0,0,0,0,242,1150,4.75,7,27,20,166,8.30,0,1,1,7,0,0
Josh Malone,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Reynolds,24,16,2,0,0,0,0,0,5,23,4.60,0,43,21,326,15.52,1,0,0,1,0,0
JuJu Smith-Schuster,23,12,12,0,0,0,0,0,0,0,0,0,70,42,552,13.14,3,1,1,3,0,0
Julian Edelman,33,16,13,2,2,47,1,0,8,27,3.38,0,153,100,1117,11.17,6,3,1,6,1,0
Julio Jones,30,15,15,0,0,0,0,0,2,-3,-1.50,0,157,99,1394,14.08,6,1,0,6,0,0
Justice Hill,22,16,0,0,0,0,0,0,58,225,3.88,2,15,8,70,8.75,0,0,0,2,0,0
Justin Jackson,23,7,0,0,0,0,0,0,29,200,6.90,0,11,9,22,2.44,0,0,0,0,0,0
Justin Watson,23,16,2,0,0,0,0,0,0,0,0,0,26,15,159,10.60,2,0,0,2,0,0
Kaden Smith,22,9,6,0,0,0,0,0,0,0,0,0,42,31,268,8.65,3,2,0,3,0,0
Kalen Ballage,24,12,6,0,0,0,0,0,74,135,1.82,3,24,14,63,4.50,0,0,0,3,0,0
Kalif Raymond,25,8,1,0,0,0,0,0,1,-5,-5.00,0,12,9,170,18.89,1,1,1,1,0,0
Kareem Hunt,24,8,3,0,0,0,0,0,43,179,4.16,2,44,37,285,7.70,1,1,0,3,0,0
KeeSean Johnson,23,10,4,0,0,0,0,0,1,3,3.00,0,42,21,187,8.90,1,1,1,1,1,0
Keelan Cole,26,16,1,0,0,0,0,0,1,6,6.00,0,35,24,361,15.04,3,0,0,3,0,0
Keenan Allen,27,16,16,0,0,0,0,0,3,16,5.33,0,149,104,1199,11.53,6,0,0,6,0,0
Keith Kirkwood,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Smith,27,16,5,0,0,0,0,0,5,8,1.60,0,3,1,13,13.00,0,0,0,0,0,0
Keke Coutee,22,9,4,0,0,0,0,0,2,14,7.00,1,36,22,254,11.55,0,1,1,1,0,0
Kendrick Bourne,24,16,0,0,0,0,0,0,0,0,0,0,44,30,358,11.93,5,0,0,5,1,0
Kenny Golladay,26,16,16,0,0,0,0,0,0,0,0,0,116,65,1190,18.31,11,1,1,11,0,0
Kenny Stills,27,13,5,0,0,0,0,0,0,0,0,0,55,40,561,14.03,4,0,0,4,0,0
Kenyan Drake,25,14,10,0,0,0,0,0,170,817,4.81,8,68,50,345,6.90,0,2,1,8,1,0
Kerryon Johnson,22,8,7,0,0,0,0,0,113,403,3.57,3,15,10,127,12.70,1,1,1,4,0,0
KhaDarel Hodge,24,16,1,0,0,0,0,0,0,0,0,0,10,4,76,19.00,0,0,0,0,0,0
Khari Blasingame,23,6,3,0,0,0,0,0,0,0,0,0,5,4,54,13.50,0,0,0,0,0,0
Kirk Cousins,31,15,15,307,444,3603,26,6,31,63,2.03,1,1,0,0,0,0,10,3,1,0,1
Kyle Allen,23,13,12,303,489,3322,17,16,32,106,3.31,2,0,0,0,0,0,13,7,2,0,0
Kyle Juszczyk,28,12,12,0,0,0,0,0,3,7,2.33,0,24,20,239,11.95,1,0,0,1,0,0
Kyle Rudolph,30,16,16,0,0,0,0,0,0,0,0,0,48,39,367,9.41,6,0,0,6,1,0
Kyler Murray,22,16,16,349,542,3722,20,12,93,544,5.85,4,0,0,0,0,0,5,2,4,0,3
Lamar Jackson,22,15,15,265,401,3127,36,6,176,1206,6.85,7,0,0,0,0,0,9,2,7,0,0
Laquon Treadwell,24,13,1,0,0,0,0,0,0,0,0,0,16,9,184,20.44,1,0,0,1,0,0
Larry Fitzgerald,36,16,16,0,0,0,0,0,0,0,0,0,109,75,804,10.72,4,1,1,4,0,0
Latavius Murray,29,16,8,0,0,0,0,0,146,637,4.36,5,43,34,235,6.91,1,0,0,6,0,0
Le'Veon Bell,27,15,15,0,0,0,0,0,245,789,3.22,3,78,66,461,6.98,1,1,1,4,1,0
LeSean McCoy,31,13,9,0,0,0,0,0,101,465,4.60,4,34,28,181,6.46,1,3,2,5,0,0
Lee Smith,32,16,5,0,0,0,0,0,0,0,0,0,5,4,31,7.75,1,0,0,1,0,0
Leonard Fournette,24,15,15,0,0,0,0,0,265,1152,4.35,3,100,76,522,6.87,0,1,1,3,0,0
Levine Toilolo,28,13,0,0,0,0,0,0,0,0,0,0,2,2,10,5.00,0,0,0,0,0,0
Lil'Jordan Humphrey,21,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Logan Thomas,28,16,3,0,0,0,0,0,0,0,0,0,28,16,173,10.81,1,0,0,1,0,0
Luke Stocker,31,15,9,0,0,0,0,0,0,0,0,0,14,8,53,6.63,0,1,0,0,0,0
Luke Willson,29,8,7,0,0,0,0,0,0,0,0,0,10,8,79,9.88,0,0,0,0,0,0
Mack Hollins,26,16,3,0,0,0,0,0,0,0,0,0,23,10,125,12.50,0,0,0,0,0,0
Malcolm Brown,26,14,1,0,0,0,0,0,69,255,3.70,5,6,2,16,8.00,0,0,0,5,0,0
Marcedes Lewis,35,16,11,0,0,0,0,0,0,0,0,0,19,15,156,10.40,1,0,0,1,0,0
Marcus Johnson,25,8,6,0,0,0,0,0,0,0,0,0,33,17,277,16.29,2,0,0,2,0,0
Marcus Mariota,26,7,6,95,160,1203,7,2,24,129,5.38,0,0,0,0,0,0,3,0,0,0,0
Mark Andrews,24,15,4,0,0,0,0,0,0,0,0,0,98,64,852,13.31,10,2,1,10,0,0
Mark Ingram,30,15,15,0,0,0,0,0,202,1018,5.04,10,29,26,247,9.50,5,2,2,15,2,0
Marlon Mack,23,14,12,0,0,0,0,0,247,1091,4.42,8,17,14,82,5.86,0,0,0,8,1,0
Marquez Valdes-Scantling,25,16,10,0,0,0,0,0,2,9,4.50,0,56,26,452,17.38,2,0,0,2,0,0
Marquise Brown,22,14,11,0,0,0,0,0,0,0,0,0,71,46,584,12.70,7,0,0,7,0,0
Marvin Hall,26,9,0,0,0,0,0,0,1,7,7.00,0,11,7,261,37.29,1,0,0,1,0,0
Marvin Jones,29,13,11,0,0,0,0,0,2,0,0.00,0,91,62,779,12.56,9,0,0,9,0,0
Mason Rudolph,24,10,8,176,283,1765,13,9,21,42,2.00,0,0,0,0,0,0,4,0,0,0,0
Matt Barkley,29,2,0,27,51,359,0,3,2,-4,-2.00,0,0,0,0,0,0,3,1,0,0,0
Matt Breida,24,13,5,0,0,0,0,0,123,623,5.07,1,22,19,120,6.32,1,2,1,2,0,0
Matt Ryan,34,15,15,408,616,4466,26,14,34,147,4.32,1,0,0,0,0,0,9,5,1,0,1
Matt Schaub,38,6,1,50,67,580,3,1,3,-3,-1.00,0,0,0,0,0,0,1,1,0,0,1
Matthew Stafford,31,8,8,187,291,2499,19,5,20,66,3.30,0,0,0,0,0,0,5,3,0,0,0
Maxx Williams,25,16,10,0,0,0,0,0,0,0,0,0,19,15,202,13.47,1,0,0,1,0,0
Mecole Hardman,21,16,5,0,0,0,0,0,4,17,4.25,0,41,26,538,20.69,6,2,2,7,0,0
Melvin Gordon,26,12,11,0,0,0,0,0,162,612,3.78,8,55,42,296,7.05,1,4,3,9,0,0
Michael Burton,27,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Michael Gallup,23,14,12,0,0,0,0,0,0,0,0,0,113,66,1107,16.77,6,0,0,6,0,0
Michael Thomas,26,16,15,0,0,0,0,0,1,-9,-9.00,0,185,149,1725,11.58,9,1,0,9,0,0
Mike Boone,24,16,2,0,0,0,0,0,49,273,5.57,3,4,3,17,5.67,0,0,0,3,0,0
Mike Davis,26,12,1,0,0,0,0,0,13,27,2.08,0,8,7,22,3.14,0,0,0,0,0,0
Mike Evans,26,13,13,0,0,0,0,0,0,0,0,0,118,67,1157,17.27,8,0,0,8,1,0
Mike Gesicki,24,16,5,0,0,0,0,0,0,0,0,0,89,51,570,11.18,5,1,1,5,0,0
Mike Glennon,30,2,0,6,10,56,1,0,2,0,0.00,0,0,0,0,0,0,3,1,0,0,0
Mike Thomas,25,16,0,0,0,0,0,0,0,0,0,0,5,2,14,7.00,0,0,0,0,0,0
Mike Williams,25,15,15,0,0,0,0,0,1,2,2.00,0,90,49,1001,20.43,2,0,0,2,0,0
Miles Boykin,23,16,11,0,0,0,0,0,0,0,0,0,22,13,198,15.23,3,0,0,3,0,0
Miles Sanders,22,16,11,0,0,0,0,0,179,818,4.57,3,63,50,509,10.18,3,2,1,6,1,0
Mitchell Trubisky,25,15,15,326,516,3138,17,10,48,193,4.02,2,0,0,0,0,0,5,2,2,0,1
Mo Alie-Cox,26,16,2,0,0,0,0,0,0,0,0,0,11,8,93,11.63,0,0,0,0,0,0
Mohamed Sanu,30,15,12,0,0,0,0,0,3,11,3.67,0,89,59,520,8.81,2,0,0,2,0,0
MyCole Pruitt,27,16,10,0,0,0,0,0,0,0,0,0,8,6,90,15.00,1,0,0,1,0,0
Myles Gaskin,22,7,0,0,0,0,0,0,36,133,3.69,1,12,7,51,7.29,0,0,0,1,0,0
N'Keal Harry,22,7,5,0,0,0,0,0,5,49,9.80,0,24,12,105,8.75,2,0,0,2,0,0
Nelson Agholor,26,11,10,0,0,0,0,0,2,7,3.50,0,69,39,363,9.31,3,2,1,3,1,0
Nick Bellore,30,14,1,0,0,0,0,0,0,0,0,0,2,2,23,11.50,1,0,0,1,0,0
Nick Boyle,26,16,15,0,0,0,0,0,0,0,0,0,43,31,321,10.35,2,0,0,2,0,0
Nick Chubb,24,16,16,0,0,0,0,0,298,1494,5.01,8,49,36,278,7.72,0,3,3,8,0,0
Nick Foles,30,4,4,77,117,736,3,2,4,23,5.75,0,0,0,0,0,0,2,2,0,0,1
Nick Mullens,24,1,0,0,0,0,0,0,3,-3,-1.00,0,0,0,0,0,0,0,0,0,0,0
Nick Vannett,26,16,7,0,0,0,0,0,0,0,0,0,22,17,166,9.76,0,0,0,0,0,0
Noah Fant,22,16,11,0,0,0,0,0,3,-12,-4.00,0,66,40,562,14.05,3,1,1,3,0,0
Nsimba Webster,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nyheim Hines,23,16,2,0,0,0,0,0,52,199,3.83,2,58,44,320,7.27,0,1,1,4,0,0
O.J. Howard,25,14,14,0,0,0,0,0,0,0,0,0,53,34,459,13.50,1,1,1,1,0,0
Odell Beckham Jr.,27,16,15,1,2,20,0,0,3,10,3.33,0,133,74,1035,13.99,4,1,1,4,0,0
Olabisi Johnson,22,16,6,0,0,0,0,0,1,6,6.00,0,45,31,294,9.48,3,0,0,3,0,0
Olamide Zaccheaus,22,10,0,0,0,0,0,0,0,0,0,0,5,3,115,38.33,1,0,0,2,0,0
Parris Campbell,22,7,3,0,0,0,0,0,4,34,8.50,0,24,18,127,7.06,1,3,1,1,0,0
Patrick Laird,24,15,4,0,0,0,0,0,62,168,2.71,1,30,23,204,8.87,0,0,0,1,1,0
Patrick Mahomes,24,14,14,319,484,4031,26,5,43,218,5.07,2,0,0,0,0,0,3,2,2,0,1
Patrick Ricard,25,16,7,0,0,0,0,0,0,0,0,0,11,8,47,5.88,1,0,0,1,0,0
Peyton Barber,25,16,7,0,0,0,0,0,154,470,3.05,6,24,16,115,7.19,1,1,1,7,1,0
Pharaoh Brown,25,9,6,0,0,0,0,0,0,0,0,0,3,2,27,13.50,0,0,0,0,0,0
Pharoh Cooper,24,13,1,0,0,0,0,0,1,2,2.00,0,33,25,243,9.72,1,0,0,1,0,0
Philip Rivers,38,16,16,390,591,4615,23,20,12,29,2.42,0,0,0,0,0,0,8,3,0,0,1
Phillip Lindsay,25,16,16,0,0,0,0,0,224,1011,4.51,7,48,35,196,5.60,0,0,0,7,0,0
Preston Williams,22,8,7,0,0,0,0,0,0,0,0,0,60,32,428,13.38,3,2,1,3,0,0
Qadree Ollison,23,8,0,0,0,0,0,0,22,50,2.27,4,2,1,7,7.00,0,1,0,4,0,0
Raheem Mostert,27,16,0,0,0,0,0,0,137,772,5.64,8,22,14,180,12.86,2,2,2,10,0,0
Randall Cobb,29,15,6,0,1,0,0,0,3,11,3.67,0,83,55,828,15.05,3,2,1,3,0,0
Rashaad Penny,23,10,0,0,0,0,0,0,65,370,5.69,3,11,8,83,10.38,1,1,1,4,0,0
Rashard Higgins,25,10,1,0,0,0,0,0,0,0,0,0,11,4,55,13.75,1,0,0,1,0,0
Ray-Ray McCloud,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
Reggie Bonnafon,23,16,0,0,0,0,0,0,16,116,7.25,1,9,6,57,9.50,0,0,0,1,0,0
Rex Burkhead,29,13,1,0,0,0,0,0,65,302,4.65,3,38,27,279,10.33,0,1,1,3,0,0
Richard Rodgers,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richie James,24,16,1,0,0,0,0,0,2,-1,-0.50,0,10,6,165,27.50,1,1,1,1,0,0
Riley Ridley,23,5,0,0,0,0,0,0,0,0,0,0,7,6,69,11.50,0,0,0,0,0,0
River Cracraft,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbie Chosen,26,16,15,0,0,0,0,0,1,4,4.00,0,96,52,779,14.98,5,1,0,5,1,0
Robert Foster,25,13,2,0,0,0,0,0,2,29,14.50,0,18,3,64,21.33,0,0,0,0,0,0
Robert Griffin III,29,7,1,23,38,225,1,2,20,70,3.50,0,0,0,0,0,0,0,0,0,0,0
Robert Tonyan,25,11,1,0,0,0,0,0,0,0,0,0,15,10,100,10.00,1,0,0,1,0,0
Robert Woods,27,15,15,0,0,0,0,0,17,115,6.76,1,139,90,1134,12.60,2,0,0,3,0,0
Ronald Jones II,22,16,9,0,0,0,0,0,172,724,4.21,6,40,31,309,9.97,0,3,2,6,0,0
Ross Dwelley,24,16,6,0,0,0,0,0,0,0,0,0,22,15,91,6.07,2,0,0,2,0,0
Royce Freeman,23,16,0,0,0,0,0,0,132,496,3.76,3,50,43,256,5.95,1,0,0,4,0,0
Russell Gage,23,16,4,0,0,0,0,0,4,12,3.00,0,74,49,446,9.10,1,1,1,1,0,0
Russell Wilson,31,16,16,341,516,4110,31,5,75,342,4.56,3,0,0,0,0,0,8,2,3,0,1
Ryan Finley,25,3,3,41,87,474,2,2,10,77,7.70,0,0,0,0,0,0,4,3,0,0,0
Ryan Fitzpatrick,37,15,13,311,502,3529,20,13,54,243,4.50,4,0,0,0,0,0,9,2,4,0,1
Ryan Griffin,30,2,0,2,4,18,0,0,4,-1,-0.25,0,0,0,0,0,0,0,0,0,0,0
Ryan Izzo,24,6,4,0,0,0,0,0,0,0,0,0,9,6,114,19.00,1,0,0,1,0,0
Ryan Nall,24,8,0,0,0,0,0,0,2,8,4.00,0,0,0,0,0,0,0,0,0,0,0
Ryan Tannehill,31,12,10,201,286,2742,22,6,43,185,4.30,4,0,0,0,0,0,5,3,4,1,0
Sam Darnold,22,13,13,273,441,3024,19,13,33,62,1.88,2,0,0,0,0,0,11,3,2,0,3
Samaje Perine,24,7,0,0,0,0,0,0,5,16,3.20,0,0,0,0,0,0,0,0,0,0,0
Sammy Watkins,26,14,13,0,0,0,0,0,2,12,6.00,0,90,52,673,12.94,3,2,1,3,1,0
Saquon Barkley,22,13,13,0,0,0,0,0,217,1003,4.62,6,73,52,438,8.42,2,1,0,8,0,0
Scott Miller,22,10,2,0,0,0,0,0,2,16,8.00,0,26,13,200,15.38,1,0,0,1,0,0
Senorise Perry,28,11,0,0,0,0,0,0,3,3,1.00,0,1,1,1,1.00,0,0,0,0,0,0
Seth Roberts,28,16,0,0,0,0,0,0,0,0,0,0,35,21,271,12.90,2,0,0,2,0,0
Sony Michel,24,16,14,0,0,0,0,0,247,912,3.69,7,20,12,94,7.83,0,2,1,7,0,0
Stefon Diggs,26,15,15,0,1,0,0,0,5,61,12.20,0,94,63,1130,17.94,6,4,3,6,0,0
Stephen Anderson,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Carlson,23,9,5,0,0,0,0,0,0,0,0,0,7,5,51,10.20,1,0,0,1,0,0
Sterling Shepard,26,10,10,0,0,0,0,0,6,72,12.00,0,83,57,576,10.11,3,0,0,3,1,0
Steven Mitchell,25,3,1,0,0,0,0,0,0,0,0,0,6,2,37,18.50,0,0,0,0,0,0
Steven Sims,22,16,2,0,1,0,0,0,9,85,9.44,1,56,34,310,9.12,4,1,0,6,0,0
T.J. Hockenson,22,12,7,0,0,0,0,0,0,0,0,0,59,32,367,11.47,2,0,0,2,0,0
T.J. Yeldon,26,6,0,0,0,0,0,0,17,63,3.71,0,15,13,124,9.54,0,1,1,0,0,0
T.Y. Hilton,30,10,10,0,0,0,0,0,0,0,0,0,68,45,501,11.13,5,0,0,5,0,0
Tanner Hudson,25,9,1,0,0,0,0,0,0,0,0,0,5,2,26,13.00,0,0,0,0,0,0
Tarik Cohen,24,16,11,0,0,0,0,0,64,213,3.33,0,104,79,456,5.77,3,3,0,3,0,0
Tavon Austin,29,14,0,0,0,0,0,0,6,47,7.83,1,24,13,177,13.62,1,1,0,2,0,0
Taysom Hill,29,16,5,3,6,55,0,0,27,156,5.78,1,22,19,234,12.32,6,0,0,7,0,0
Ted Ginn Jr.,34,16,9,0,0,0,0,0,3,18,6.00,0,56,30,421,14.03,2,0,0,2,0,0
Teddy Bridgewater,27,9,5,133,196,1384,9,2,28,31,1.11,0,0,0,0,0,0,1,0,0,0,0
Terry McLaurin,24,14,14,0,0,0,0,0,0,0,0,0,93,58,919,15.84,7,0,0,7,0,0
Tevin Coleman,26,14,11,0,0,0,0,0,137,544,3.97,6,30,21,180,8.57,1,0,0,7,0,0
Tim Boyle,25,3,0,3,4,15,0,0,5,-7,-1.40,0,0,0,0,0,0,0,0,0,0,0
Tim Patrick,26,8,2,0,0,0,0,0,0,0,0,0,31,16,218,13.63,0,0,0,0,0,0
Todd Gurley,25,15,15,0,0,0,0,0,223,857,3.84,12,49,31,207,6.68,2,3,2,14,1,0
Tom Brady,42,16,16,373,613,4057,24,8,26,34,1.31,3,0,0,0,0,0,4,1,3,0,1
Tony Brooks-James,25,3,0,0,0,0,0,0,8,7,0.88,0,0,0,0,0,0,0,0,0,0,0
Tony Pollard,22,15,0,0,0,0,0,0,86,455,5.29,2,20,15,107,7.13,1,1,1,3,1,0
Trace McSorley,24,1,0,0,0,0,0,0,1,1,1.00,0,0,0,0,0,0,0,0,0,0,0
Travis Fulgham,24,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Travis Homer,21,16,1,0,0,0,0,0,18,114,6.33,0,13,11,56,5.09,0,0,0,0,0,0
Travis Kelce,30,16,16,0,0,0,0,0,1,4,4.00,1,136,97,1229,12.67,5,1,1,6,0,0
Trayveon Williams,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre'Quan Smith,23,11,6,0,0,0,0,0,0,0,0,0,25,18,234,13.00,5,0,0,5,0,0
Trent Sherfield,23,16,1,0,0,0,0,0,0,0,0,0,13,4,80,20.00,0,0,0,0,0,0
Trenton Cannon,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trenton Irwin,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevon Wesco,24,16,1,0,0,0,0,0,1,2,2.00,0,3,2,47,23.50,0,0,0,0,0,0
Trey Burton,28,8,5,0,0,0,0,0,0,0,0,0,24,14,84,6.00,0,0,0,0,0,0
Troy Fumagalli,24,11,5,0,0,0,0,0,0,0,0,0,9,6,38,6.33,1,0,0,1,0,0
Troymaine Pope,26,14,0,0,0,0,0,0,10,20,2.00,0,3,2,14,7.00,1,1,1,1,0,0
Ty Johnson,22,16,1,0,0,0,0,0,63,273,4.33,0,31,24,109,4.54,0,1,1,0,0,0
Ty Montgomery,26,16,2,0,0,0,0,0,32,103,3.22,0,17,13,90,6.92,0,0,0,0,0,0
Tyler Boyd,25,16,15,0,0,0,0,0,4,23,5.75,0,148,90,1046,11.62,5,2,2,5,0,0
Tyler Conklin,24,15,1,0,0,0,0,0,0,0,0,0,10,8,58,7.25,0,0,0,0,0,0
Tyler Eifert,29,16,4,0,0,0,0,0,0,0,0,0,63,43,436,10.14,3,0,0,3,1,0
Tyler Ervin,26,10,0,0,0,0,0,0,1,10,10.00,0,4,2,11,5.50,0,2,0,0,0,0
Tyler Higbee,26,15,15,0,0,0,0,0,0,0,0,0,89,69,734,10.64,3,0,0,3,0,0
Tyler Kroft,27,11,3,0,0,0,0,0,0,0,0,0,14,6,71,11.83,1,0,0,1,0,0
Tyler Lockett,27,16,16,0,0,0,0,0,4,-5,-1.25,0,110,82,1057,12.89,8,1,0,8,0,0
Tyreek Hill,25,12,12,0,0,0,0,0,8,23,2.88,0,89,58,860,14.83,7,0,0,7,0,0
Tyrod Taylor,30,8,0,4,6,33,1,0,10,7,0.70,0,1,0,0,0,0,0,0,0,0,0
Vance McDonald,29,14,14,0,0,0,0,0,1,2,2.00,0,55,38,273,7.18,3,1,0,3,0,0
Virgil Green,31,15,4,0,0,0,0,0,0,0,0,0,13,9,78,8.67,1,0,0,1,0,0
Vyncint Smith,23,13,4,0,0,0,0,0,3,52,17.33,1,31,17,225,13.24,0,1,1,1,0,0
Wayne Gallman,25,10,2,0,0,0,0,0,29,110,3.79,2,15,11,102,9.27,1,0,1,3,0,0
Will Dissly,23,6,6,0,0,0,0,0,1,7,7.00,0,27,23,262,11.39,4,1,0,4,0,0
Will Fuller,25,11,11,0,0,0,0,0,0,0,0,0,71,49,670,13.67,3,1,0,3,0,0
Willie Snead,27,16,11,0,0,0,0,0,2,2,1.00,0,46,31,339,10.94,5,0,0,5,0,0
Zach Ertz,29,15,15,0,0,0,0,0,0,0,0,0,135,88,916,10.41,6,1,1,6,1,0
Zach Pascal,25,16,13,0,1,0,0,0,2,16,8.00,0,72,41,607,14.80,5,0,0,5,1,0
Zay Jones,24,15,9,0,0,0,0,0,1,3,3.00,0,45,27,216,8.00,0,0,0,0,0,0
