PLAYER,PPG
Nathan Peterman,2.766666666666667
Nelson Agholor,4.7
Nick Bellore,0.01875
Nick Chubb,16.552941176470586
Nick Foles,0.6
Nick Mullens,2.95
Nick Vannett,1.2777777777777777
Nick Westbrook-Ikhine,4.864705882352942
Nico Collins,9.709999999999999
Noah Brown,7.15625
Noah Fant,7.211764705882352
Noah Gray,4.117647058823529
Nsimba Webster,1.7
Nyheim Hines,5.0875
O.J. Howard,2.8076923076923075
Olamide Zaccheaus,6.470588235294118
P.J. Walker,6.516666666666667
Parker Hesse,1.052941176470588
Parris Campbell,8.770588235294117
Pat Freiermuth,9.2625
Patrick Mahomes,24.552941176470586
Patrick Ricard,1.1764705882352942
Patrick Taylor,0.41428571428571426
Penny Hart,0.5555555555555556
Pharaoh Brown,1.48125
Pharoh Cooper,0.82
Phillip Dorsett,3.4466666666666668
Phillip Lindsay,4.933333333333334
Quez Watkins,4.970588235294118
Quintez Cephus,0.875
Racey McMath,1.28
Raheem Mostert,10.51875
Randall Cobb,6.2846153846153845
Rashaad Penny,10.440000000000001
Rashod Bateman,8.916666666666666
Ray-Ray McCloud,3.4176470588235297
Reggie Bonnafon,0.8
Reggie Gilliam,1.3933333333333333
Rex Burkhead,4.8375
Rhamondre Stevenson,14.652941176470588
Richard Rodgers,0.13999999999999999
River Cracraft,2.8363636363636364
Robbie Chosen,3.2625
Robert Tonyan,6.588235294117647
Robert Woods,6.805882352941176
Ronald Jones II,2.6999999999999997
Rondale Moore,10.9875
Ross Dwelley,1.625
Royce Freeman,4.75
Russell Gage,9.507692307692308
Russell Wilson,15.053333333333335
Ryan Griffin,0.44
Ryan Tannehill,13.433333333333332
Salvon Ahmed,1.1833333333333333
Sam Darnold,14.383333333333333
Sam Ehlinger,8.9
Samaje Perine,8.88125
Sammy Watkins,3.875
Saquon Barkley,17.75
Scott Miller,2.82
Sean McKeon,0.23846153846153847
Shane Zylstra,3.1538461538461537
Shi Smith,3.623529411764706
Simi Fehoko,1.08
Sony Michel,2.4899999999999998
Spencer Brown,3.65
Stefon Diggs,19.7875
Stephen Anderson,0.24375
Stephen Sullivan,0.4714285714285714
Sterling Shepard,11.466666666666667
Steven Sims,2.6166666666666667
T.J. Hockenson,12.670588235294119
T.Y. Hilton,6.366666666666667
Taiwan Jones,-0.125
Tanner Hudson,2.109090909090909
Taylor Heinicke,12.88888888888889
Taysom Hill,9.1125
Teddy Bridgewater,7.6
Tee Higgins,13.80625
Terrace Marshall Jr.,5.928571428571429
Terry McLaurin,13.470588235294118
Tevin Coleman,4.4
Tim Boyle,-2.9
Tom Brady,15.98235294117647
Tom Kennedy,3.1571428571428575
Tommy Sweeney,0.33999999999999997
Tommy Tremble,3.0823529411764703
Tony Jones,1.7333333333333334
Tony Pollard,15.55
Travis Homer,4.3100000000000005
Travis Kelce,18.605882352941176
Trayveon Williams,1.0
Tre' McKitty,1.011764705882353
Tre'Quan Smith,3.52
Trent Sherfield,4.923529411764706
Trent Taylor,0.73125
Trenton Irwin,7.022222222222222
Trevon Wesco,0.4714285714285714
Trevor Lawrence,17.38823529411765
Trevor Siemian,5.1
Trey Lance,6.25
Trey Sermon,0.95
Tua Tagovailoa,17.76153846153846
Tutu Atwell,4.861538461538462
Ty Johnson,2.5176470588235293
Ty Montgomery,10.3
Ty'Son Williams,1.5
Tylan Wallace,0.8111111111111111
Tyler Boyd,10.44375
Tyler Conklin,7.735294117647059
Tyler Davis,0.388235294117647
Tyler Higbee,8.941176470588236
Tyler Huntley,8.333333333333334
Tyler Kroft,0.8818181818181817
Tyler Lockett,14.83125
Tyler Mabry,3.85
Tyreek Hill,20.423529411764704
Tyrie Cleveland,0.7999999999999999
Tyrod Taylor,3.766666666666667
Tyron Johnson,0.45
Van Jefferson,7.172727272727273
Will Dissly,5.793333333333334
Zach Ertz,11.559999999999999
Zach Gentry,1.8941176470588237
Zach Pascal,2.1176470588235294
Zach Wilson,10.988888888888889
Zack Moss,4.961538461538462
Zay Jones,12.38125
