PLAYER,PPG
A.J. Brown,17.623529411764707
A.J. Green,4.1066666666666665
AJ Dillon,9.858823529411765
Aaron Jones,14.623529411764705
Aaron Rodgers,14.070588235294117
Adam Prentice,0.43636363636363634
Adam Thielen,10.588235294117647
Adam Trautman,2.98
Albert Okwuegbunam,3.1875
Alec Ingold,2.2529411764705882
Alexander Mattison,5.2
Allen Lazard,11.653333333333334
Allen Robinson,8.49
Alvin Kamara,14.113333333333333
Amari Cooper,14.470588235294118
Amari Rodgers,2.44375
Ameer Abdullah,3.182352941176471
Amon-Ra St. Brown,16.725
Andrew Beck,0.9153846153846155
Andy Dalton,12.442857142857141
Andy Isabella,0.8400000000000001
Anthony Firkser,1.7272727272727273
Anthony McFarland Jr.,6.1
Anthony Schwartz,1.7090909090909092
Antonio Gibson,11.06
Ashton Dulin,3.5416666666666665
Austin Ekeler,21.923529411764704
Austin Hooper,5.729411764705882
Austin Trammell,0.5499999999999999
Avery Williams,2.0
Baker Mayfield,10.116666666666667
Ben Ellefson,1.4
Ben Skowronek,6.021428571428571
Benny Snell Jr.,1.0999999999999999
Blaine Gabbert,5.2
Blake Bell,3.3333333333333335
Boston Scott,3.08
Brandin Cooks,11.2
Brandon Aiyuk,13.4
Brandon Allen,0.8
Brandon Bolden,1.70625
Brandon Powell,2.8000000000000003
Braxton Berrios,3.394117647058824
Breshad Perriman,2.118181818181818
Brett Rypien,4.5
Brevin Jordan,2.4363636363636365
Brian Hoyer,1.5
Brock Wright,3.7411764705882353
Bryan Edwards,0.6428571428571429
Brycen Hopkins,1.2785714285714285
Byron Pringle,3.227272727272727
C.J. Beathard,-0.25
C.J. Board,0.4
C.J. Ham,1.8411764705882354
C.J. Uzomah,3.746666666666667
Cam Akers,9.42
Cam Sims,0.9941176470588234
Cameron Brate,3.4
Carson Wentz,14.1
Case Keenum,0.15
Cedrick Wilson Jr.,1.76
CeeDee Lamb,17.741176470588236
Chad Henne,-0.16666666666666666
Chase Claypool,7.0
Chase Daniel,2.125
Chase Edmonds,5.707692307692308
Chester Rogers,-0.6666666666666666
Chris Conley,0.9555555555555555
Chris Evans,1.0666666666666667
Chris Godwin,14.853333333333333
Chris Manhertz,0.6
Chris Moore,7.19375
Chris Myarick,1.21875
Chris Streveler,4.5
Christian Kirk,14.229411764705883
Christian McCaffrey,20.96470588235294
Chuba Hubbard,5.846666666666667
Clyde Edwards-Helaire,9.83
Cody Hollister,0.7636363636363637
Cody White,1.2
Colby Parkinson,4.070588235294117
Cole Beasley,2.375
Cole Kmet,8.664705882352942
Colt McCoy,8.2
Cooper Kupp,22.37777777777778
Cooper Rush,6.288888888888889
Cordarrelle Patterson,11.899999999999999
Corey Clement,2.433333333333333
Corey Davis,7.507692307692308
Courtland Sutton,10.626666666666667
Craig Reynolds,3.4222222222222225
Curtis Samuel,10.370588235294118
D'Andre Swift,13.65
D'Ernest Johnson,0.36000000000000004
D'Onta Foreman,7.705882352941177
D'Wayne Eskridge,1.3800000000000001
D.J. Moore,11.711764705882352
D.K. Metcalf,13.341176470588236
DJ Chark,8.927272727272728
Dak Prescott,16.55
Dallas Goedert,11.766666666666666
Dalton Schultz,9.513333333333332
Dalvin Cook,13.988235294117647
Damien Harris,8.263636363636364
Damien Williams,0.2
Damiere Byrd,3.6999999999999997
Dan Arnold,1.3235294117647058
Daniel Jones,18.0625
Dante Pettis,3.835294117647059
Dare Ogunbowale,2.864705882352941
Darius Slayton,8.025
Darnell Mooney,8.458333333333334
Darrel Williams,3.516666666666667
Darrell Henderson,7.35
Darren Waller,9.422222222222222
Darrynton Evans,1.7833333333333332
Davante Adams,19.735294117647058
David Blough,9.3
David Johnson,1.8199999999999998
David Montgomery,11.10625
David Njoku,10.142857142857142
David Sills,2.4000000000000004
Davis Mills,12.1
Davis Webb,20.8
Dawson Knox,9.046666666666665
Dax Milne,1.0466666666666666
DeAndre Carter,6.605882352941176
DeAndre Hopkins,16.855555555555554
DeSean Jackson,3.4714285714285715
DeVante Parker,7.915384615384616
DeVonta Smith,14.976470588235294
DeeJay Dallas,3.08
Deebo Samuel,12.953846153846154
Demarcus Robinson,6.105882352941176
Demetric Felton,0.3
Denzel Mims,2.96
Deon Jackson,5.28125
Deonte Harty,0.325
Derek Carr,14.606666666666666
Derek Watt,1.188235294117647
Derrick Henry,18.925
Devin Asiasi,0.20833333333333334
Devin Duvernay,8.292857142857143
Devin Singletary,11.11875
Devine Ozigbo,0.425
Dezmon Patmon,4.4
Diontae Johnson,10.629411764705882
Donald Parham,4.833333333333333
Donovan Peoples-Jones,9.829411764705881
Dontrell Hilliard,6.433333333333334
Drew Sample,0.9
Duke Johnson,0.4
Durham Smythe,2.5
Dwayne Washington,0.4583333333333333
Dyami Brown,2.1866666666666665
Elijah Mitchell,8.72
Elijah Moore,5.50625
Eno Benjamin,5.973333333333333
Equanimeous St. Brown,4.04375
Eric Saubert,2.105882352941176
Eric Tomlinson,1.7
Evan Engram,10.405882352941177
Ezekiel Elliott,12.386666666666667
Foster Moreau,5.680000000000001
Frank Darby,0.5
Freddie Swain,2.85
Gabriel Davis,11.44
Gardner Minshew II,7.359999999999999
Gary Brightwell,1.7058823529411764
Geno Smith,17.876470588235293
Geoff Swaim,1.4000000000000001
George Kittle,13.366666666666667
Gerald Everett,8.71875
Giovani Bernard,0.5875
Giovanni Ricci,1.2
Godwin Igwebuike,0.33999999999999997
Greg Dortch,7.06875
Gunner Olszewski,0.7625
Harrison Bryant,3.6294117647058823
Hayden Hurst,8.107692307692307
Hunter Henry,6.111764705882353
Hunter Renfrow,7.9
Ian Thomas,2.394117647058824
Ihmir Smith-Marsette,0.05
Isaiah Hodgins,10.02
Isaiah McKenzie,7.986666666666666
J.D. McKissic,6.975
J.J. Taylor,2.7
Ja'Marr Chase,20.2
Jack Stoll,1.3705882352941177
Jacob Eason,0.4
Jacob Harris,0.2285714285714286
Jacoby Brissett,10.5375
Jaelon Darden,0.34285714285714286
Jake Kumerow,1.7333333333333334
Jakob Johnson,0.35294117647058826
Jakobi Meyers,12.87857142857143
Jalen Camp,0.85
Jalen Guyton,2.8000000000000003
Jalen Hurts,25.2
Jalen Reagor,1.5823529411764705
Jamaal Williams,13.288235294117648
Jamal Agnew,4.6866666666666665
Jameis Winston,14.633333333333333
James Conner,15.399999999999999
James Proche,0.8133333333333332
James Robinson,8.054545454545455
Jamison Crowder,3.0
Jamycal Hasty,4.117647058823529
Jared Goff,16.723529411764705
Jaret Patterson,2.6
Jarvis Landry,6.688888888888889
Jason Moore,0.25
Jauan Jennings,5.1625
Javonte Williams,10.5
Jaylen Waddle,15.24705882352941
Jeff Driskel,2.457142857142857
Jeff Smith,1.9454545454545453
Jeff Wilson,9.90625
Jerick McKinnon,11.547058823529412
Jerry Jeudy,13.613333333333333
Jesper Horsted,0.3266666666666667
Jimmy Garoppolo,14.981818181818182
Jody Fortson,2.292307692307692
Joe Burrow,21.91875
Joe Flacco,9.66
Joe Mixon,17.107142857142858
John Bates,1.925
John Brown,3.733333333333333
John Wolford,4.933333333333334
Johnny Mundt,2.2941176470588234
Jonathan Taylor,13.30909090909091
Jonathan Ward,0.65
Jonathan Williams,2.0153846153846153
Jonnu Smith,3.7142857142857144
Jordan Akins,7.766666666666667
Jordan Howard,0.05
Jordan Love,2.925
Jordan Wilkins,3.675
Josh Allen,24.71875
Josh Jacobs,19.311764705882354
Josh Johnson,0.35
Josh Oliver,2.4058823529411764
Josh Palmer,10.58125
Josh Reynolds,7.421428571428572
Joshua Kelley,4.984615384615385
Josiah Deguara,1.4352941176470588
JuJu Smith-Schuster,11.58125
Julio Jones,7.040000000000001
Justin Fields,19.733333333333334
Justin Herbert,16.54705882352941
Justin Jackson,3.19375
Justin Jefferson,21.688235294117646
Justin Watson,3.4411764705882355
Juwan Johnson,8.425
Juwann Winfree,0.9
K.J. Osborn,9.152941176470588
KJ Hamler,3.685714285714286
Kadarius Toney,6.366666666666666
Kalif Raymond,6.835294117647059
Kareem Hunt,7.458823529411765
Ke'Shawn Vaughn,0.6799999999999999
Keelan Cole,2.15
Keenan Allen,16.4
Keith Kirkwood,0.76
Keith Smith,0.11764705882352941
Keke Coutee,0.125
Kendall Blanton,1.375
Kendall Hinton,4.7
Kendrick Bourne,5.51875
Kene Nwangwu,0.6764705882352942
Kenneth Gainwell,5.170588235294118
Kenny Golladay,1.675
Kenyan Drake,8.674999999999999
Kevin White,1.342857142857143
KhaDarel Hodge,2.423529411764706
Khalil Herbert,9.061538461538461
Kirk Cousins,17.15294117647059
Kyle Allen,7.95
Kyle Juszczyk,3.35
Kyle Pitts,7.56
Kyle Rudolph,1.3111111111111111
Kylen Granson,4.707692307692308
Kyler Murray,18.227272727272727
Kylin Hill,0.35
Lamar Jackson,19.675
Laquon Treadwell,1.7
Larry Rountree,1.325
Latavius Murray,11.86153846153846
Laviska Shenault Jr.,5.592307692307693
Lawrence Cager,4.4
Leonard Fournette,14.13125
Lil'Jordan Humphrey,0.6666666666666666
Logan Thomas,5.521428571428571
Luke Farrell,0.47058823529411764
Mac Jones,12.15
Mack Hollins,9.070588235294117
Malcolm Brown,2.0727272727272728
Marcedes Lewis,1.5647058823529412
Marcus Johnson,1.3499999999999999
Marcus Mariota,15.123076923076923
Mark Andrews,12.7
Mark Ingram,5.01
Marlon Mack,4.7875
Marquez Callaway,2.6999999999999997
Marquez Valdes-Scantling,7.2
Marquise Brown,13.0
Marquise Goodwin,6.938461538461539
Marvin Jones,7.30625
Mason Kinsey,0.65
Mason Schreck,0.8666666666666667
Matt Breida,3.5176470588235293
Matt Ryan,12.941666666666668
Matthew Stafford,12.044444444444444
Maxx Williams,0.43636363636363634
Mecole Hardman,11.725
Melvin Gordon,8.709999999999999
Michael Bandy,1.89
Michael Burton,0.22352941176470587
Michael Carter,7.875
Michael Gallup,7.528571428571429
Michael Pittman Jr.,13.53125
Mike Boone,3.2
Mike Davis,0.525
Mike Evans,15.026666666666667
Mike Gesicki,5.776470588235294
Mike Strachan,0.6846153846153846
Mike Thomas,0.78
Mike White,14.15
Mike Williams,13.576923076923077
Miles Boykin,0.19375
Miles Sanders,12.74705882352941
Mitchell Trubisky,10.557142857142859
Mitchell Wilcox,2.30625
Mo Alie-Cox,3.1705882352941175
MyCole Pruitt,4.230769230769231
Myles Gaskin,2.35
N'Keal Harry,3.5142857142857147
Najee Harris,13.147058823529411
