Player,PPR
Wayne Gallman,136.6
Cyril Grayson,0
Justin Watson,16.4
Javon Wims,17.0
Dak Prescott,135.6
Matt Barkley,9.3
Garrett Gilbert,14.5
Carlos Hyde,84.9
Will Fuller,188.9
Cam Sims,86.2
Mike Glennon,60.6
Kendrick Bourne,129.7
Courtland Sutton,9.6
Mitchell Trubisky,153.7
Donte Moncrief,2.9
Mark Ingram,52.9
DeSean Jackson,44.8
Breshad Perriman,99.1
Dawson Knox,66.8
Ryan Fitzpatrick,153.7
Larry Fitzgerald,100.9
Ryan Nall,20.7
Greg Olsen,53.9
Chad Beebe,50.1
Le'Veon Bell,74.6
Russell Wilson,359.8
Foster Moreau,33.0
Ameer Abdullah,30.0
Tony Pollard,120.8
Tyreek Hill,328.9
Juwann Winfree,0
Diontae Spencer,13.5
Josh Malone,6.8
T.J. Yeldon,16.2
Danny Amendola,106.4
Leonard Fournette,132.0
Jace Sternberger,29.4
Anthony Sherman,8.3
Derek Watt,0
Ricky Seals-Jones,0
Buddy Howell,7.7
Trenton Cannon,7.9
Brandin Cooks,232.0
Tim Patrick,161.2
A.J. Brown,247.5
Dan Arnold,96.8
Ryan Griffin,17.6
Andrew Beck,0
Josh Reynolds,124.3
Demetrius Harris,11.5
Giovani Bernard,158.1
Kenny Golladay,65.8
Aaron Rodgers,383.3
Marquez Valdes-Scantling,137.3
Riley Ridley,7.9
Steven Sims,57.3
Bennie Fowler,3.1
James O'Shaughnessy,54.2
Darrius Shepherd,7.6
Robert Woods,245.1
Kyle Allen,45.0
Derek Carr,272.1
Marcus Mariota,25.8
Case Keenum,1.8
Adrian Peterson,124.5
Cameron Brate,68.2
Mike Gesicki,159.3
Antony Auclair,0
Chris Hogan,25.8
D.K. Metcalf,271.3
Mike Thomas,30.3
Calvin Ridley,281.5
Christian Blake,27.1
Anthony Miller,108.7
Darrell Daniels,23.2
Jaydon Mickens,12.8
Taysom Hill,156.6
Deante Burton,0
Trent Sherfield,10.0
Trevon Wesco,1.5
